"Estimate summary											",,,,,,,,,,,
"Upfront cost	Monthly cost	Total 12 months cost	Currency								",,,,,,,,,,,
"7610	6257.31	82697.72	USD								",,,,,,,,,,,
"		* Includes upfront cost									",,,,,,,,,,,
"											",,,,,,,,,,,
"											",,,,,,,,,,,
"Detailed Estimate											",,,,,,,,,,,
"Group hierarchy	Region	Description	Service	Upfront	Monthly	First 12 months total	Currency	Configuration summary			",,,,,,,,,,,
"My Estimate	US East (N. Virginia)		Amazon EC2 	0	1978.634	23743.61	USD	""Tenancy (Dedicated Instances)", Operating system (Linux), Advance EC2 instance (t3.xlarge), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 6), Pricing strategy (Standard Reserved Instances 1 Year  None upfront), Enable monitoring (disabled), Storage amount (30 GB)," Snapshot Frequency (No snapshot storage)""			"
"My Estimate	US East (N. Virginia)		Amazon EC2 	0	1664.998	19979.98	USD	""Tenancy (Dedicated Instances)", Operating system (Linux), Advance EC2 instance (m4.xlarge), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 2), Pricing strategy (Standard Reserved Instances 1 Year  None upfront), Enable monitoring (disabled), Storage amount (30 GB)," Snapshot Frequency (No snapshot storage)""			"
"My Estimate	US East (N. Virginia)		Amazon RDS for PostgreSQL	7610	680.078	15770.94	USD	""Storage volume (General Purpose SSD (gp2))", Storage amount (100 GB), Nodes (2), Instance Type (db.m5.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (Reserved), Lease Offering Term (1yr)," Purchase Option (Partial Upfront)""			",,,
"My Estimate	US East (N. Virginia)		S3 Standard	0	23	276	USD	S3 Standard storage (1000 GB per month)			",,,,,,,,,,,
"My Estimate	US East (N. Virginia)		Data Transfer	0	0	0	USD				",,,,,,,,,,,
"My Estimate	US East (N. Virginia)		Application Load Balancer	0	967.25	11607	USD	Number of Application Load Balancers (2)			",,,,,,,,,,,
"My Estimate	US East (N. Virginia)		Network Address Translation (NAT) Gateway	0	167.85	2014.2	USD	Number of NAT Gateways (1)			",,,,,,,,,,,
"My Estimate	US East (N. Virginia)		Data Transfer	0	0	0	USD	""DT Inbound: Not selected (0 TB per month)", DT Outbound: Not selected (0 TB per month)," DT Intra-Region: (0 TB per month)""			",,,,,,,,,
"My Estimate	US East (N. Virginia)		Amazon Route 53	0	475.5	5706	USD	""Hosted Zones (1)"," Basic Checks Within AWS (1000)""			",,,,,,,,,,
"My Estimate	US East (N. Virginia)		Amazon CloudWatch	0	300	3600	USD	Number of Metrics (includes detailed and custom metrics) (1000)			",,,,,,,,,,,
"											",,,,,,,,,,,
"											",,,,,,,,,,,
"											",,,,,,,,,,,
"Acknowledgement											",,,,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.											",,,,,,,,,,,
"											",,,,,,,,,,,
"											",,,,,,,,,,,
EC2 pricing strategy changed from on-demand to 1-year prepaid reserved instances for both web and application servers.   ,,,,,,,,,,,
RDS ricing strategy changed from on-demand to 1-year prepaid reserved instances ,,,,,,,,,,,
